Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
soft_tissue	fibrous_tissue_and_uncertain_origin	extra-gastrointestinal_site	ns	TS-2090
soft_tissue	fibrous_tissue_and_uncertain_origin	extremity	ns	TS-0552
soft_tissue	fibrous_tissue_and_uncertain_origin	face	ns	TS-2216
soft_tissue	fibrous_tissue_and_uncertain_origin	foot	ns	TS-0377
soft_tissue	fibrous_tissue_and_uncertain_origin	forearm	ns	TS-2205
soft_tissue	fibrous_tissue_and_uncertain_origin	forehead	ns	TS-2478
soft_tissue	fibrous_tissue_and_uncertain_origin	gastrointestinal_tract_(site_indeterminate)	ns	TS-0407
soft_tissue	fibrous_tissue_and_uncertain_origin	groin	ns	TS-2339
soft_tissue	fibrous_tissue_and_uncertain_origin	hard_palate	ns	TS-2479
soft_tissue	fibrous_tissue_and_uncertain_origin	head_neck	ns	TS-2356
soft_tissue	fibrous_tissue_and_uncertain_origin	head	ns	TS-0436
soft_tissue	fibrous_tissue_and_uncertain_origin	heart	ns	TS-0445
soft_tissue	fibrous_tissue_and_uncertain_origin	iliotibial_band	ns	TS-2480
soft_tissue	fibrous_tissue_and_uncertain_origin	intramuscular	ns	TS-0642
soft_tissue	fibrous_tissue_and_uncertain_origin	jaw	ns	TS-2482
soft_tissue	fibrous_tissue_and_uncertain_origin	kidney	ns	TS-0510
soft_tissue	fibrous_tissue_and_uncertain_origin	knee	ns	TS-2220
soft_tissue	fibrous_tissue_and_uncertain_origin	large_intestine	ns	TS-1306
soft_tissue	fibrous_tissue_and_uncertain_origin	leg	ns	TS-2206
soft_tissue	fibrous_tissue_and_uncertain_origin	liver	ns	TS-0564
soft_tissue	fibrous_tissue_and_uncertain_origin	lower_extremity	ns	TS-2215
soft_tissue	fibrous_tissue_and_uncertain_origin	lower_leg	ns	TS-2461
soft_tissue	fibrous_tissue_and_uncertain_origin	lung	ns	TS-0568
soft_tissue	fibrous_tissue_and_uncertain_origin	lymph_node	ns	TS-0579
soft_tissue	fibrous_tissue_and_uncertain_origin	mediastinum	ns	TS-2338
soft_tissue	fibrous_tissue_and_uncertain_origin	meninges	ns	TS-1177
soft_tissue	fibrous_tissue_and_uncertain_origin	mesentery	ns	TS-2465
soft_tissue	fibrous_tissue_and_uncertain_origin	mesocolon	ns	TS-2483
soft_tissue	fibrous_tissue_and_uncertain_origin	mouth	ns	TS-1315
soft_tissue	fibrous_tissue_and_uncertain_origin	neck	ns	TS-2045
soft_tissue	fibrous_tissue_and_uncertain_origin	nose	ns	TS-2037
soft_tissue	fibrous_tissue_and_uncertain_origin	ns	ns	TS-2090
soft_tissue	fibrous_tissue_and_uncertain_origin	oesophagus	ns	TS-0700
soft_tissue	fibrous_tissue_and_uncertain_origin	omentum	ns	TS-2004
soft_tissue	fibrous_tissue_and_uncertain_origin	ovary	ns	TS-0730
soft_tissue	fibrous_tissue_and_uncertain_origin	pancreas	ns	TS-0736
soft_tissue	fibrous_tissue_and_uncertain_origin	paraspinal	ns	TS-2090
soft_tissue	fibrous_tissue_and_uncertain_origin	parotid	ns	TS-0748
soft_tissue	fibrous_tissue_and_uncertain_origin	pelvic_cavity	ns	TS-2487
soft_tissue	fibrous_tissue_and_uncertain_origin	pelvis	ns	TS-2227
soft_tissue	fibrous_tissue_and_uncertain_origin	peritoneum	ns	TS-2072
soft_tissue	fibrous_tissue_and_uncertain_origin	pharynx	ns	TS-0785
soft_tissue	fibrous_tissue_and_uncertain_origin	pituitary	ns	TS-0798
soft_tissue	fibrous_tissue_and_uncertain_origin	pleura	ns	TS-2081
soft_tissue	fibrous_tissue_and_uncertain_origin	popliteal	ns	TS-2490
soft_tissue	fibrous_tissue_and_uncertain_origin	prostate	ns	TS-0828
soft_tissue	fibrous_tissue_and_uncertain_origin	proximal	ns	TS-2090
soft_tissue	fibrous_tissue_and_uncertain_origin	rectovaginal	ns	TS-2491
soft_tissue	fibrous_tissue_and_uncertain_origin	rectovaginal_septum	ns	TS-2491
soft_tissue	fibrous_tissue_and_uncertain_origin	retroperitoneum	ns	TS-2337
soft_tissue	fibrous_tissue_and_uncertain_origin	scalp	ns	TS-0896
soft_tissue	fibrous_tissue_and_uncertain_origin	shoulder	ns	TS-2229
soft_tissue	fibrous_tissue_and_uncertain_origin	sinonasal_and_nasal_cavity	ns	TS-2456
soft_tissue	fibrous_tissue_and_uncertain_origin	skin	ns	TS-0934
soft_tissue	fibrous_tissue_and_uncertain_origin	small_intestine	ns	TS-0942
soft_tissue	fibrous_tissue_and_uncertain_origin	stomach	ns	TS-0980
soft_tissue	fibrous_tissue_and_uncertain_origin	tendon_sheath	ns	TS-2139
soft_tissue	fibrous_tissue_and_uncertain_origin	thyroid	ns	TS-1047
soft_tissue	fibrous_tissue_and_uncertain_origin	toe	ns	TS-2494
soft_tissue	fibrous_tissue_and_uncertain_origin	trunk	ns	TS-1071
soft_tissue	fibrous_tissue_and_uncertain_origin	upper_arm	ns	TS-2462
soft_tissue	fibrous_tissue_and_uncertain_origin	upper_extremity	ns	TS-2214
soft_tissue	fibrous_tissue_and_uncertain_origin	upper_leg	ns	TS-2039
soft_tissue	fibrous_tissue_and_uncertain_origin	uterus	ns	TS-1102
soft_tissue	fibrous_tissue_and_uncertain_origin	vagina	ns	TS-1103
soft_tissue	fibrous_tissue_and_uncertain_origin	vulva	ns	TS-1168
soft_tissue	nerve_sheath	abdomen	ns	TS-0001
soft_tissue	nerve_sheath	arm	ns	TS-2204
soft_tissue	nerve_sheath	axilla	ns	TS-2208
soft_tissue	nerve_sheath	back	ns	TS-2223
soft_tissue	nerve_sheath	brain	ns	TS-0808
soft_tissue	nerve_sheath	buttock	ns	TS-2224
soft_tissue	nerve_sheath	chest	ns	TS-1039
soft_tissue	nerve_sheath	cranial	ns	TS-2472
soft_tissue	nerve_sheath	face	ns	TS-2216
soft_tissue	nerve_sheath	femur	ns	TS-0322
soft_tissue	nerve_sheath	flank	ns	TS-2336
soft_tissue	nerve_sheath	foot	ns	TS-0377
soft_tissue	nerve_sheath	forearm	ns	TS-2205
soft_tissue	nerve_sheath	groin	ns	TS-2339
soft_tissue	nerve_sheath	hand	ns	TS-2213
soft_tissue	nerve_sheath	head_neck	ns	TS-2356
soft_tissue	nerve_sheath	jaw	ns	TS-2482
soft_tissue	nerve_sheath	knee	ns	TS-2220
soft_tissue	nerve_sheath	leg	ns	TS-2206
soft_tissue	nerve_sheath	mediastinum	ns	TS-2338
soft_tissue	nerve_sheath	neck	ns	TS-2045
soft_tissue	nerve_sheath	nose	ns	TS-2037
soft_tissue	nerve_sheath	ns	ns	TS-0808
soft_tissue	nerve_sheath	pelvis	ns	TS-2227
soft_tissue	nerve_sheath	rectum	ns	TS-1180
soft_tissue	nerve_sheath	retroperitoneum	ns	TS-2337
soft_tissue	nerve_sheath	scalp	ns	TS-0896
soft_tissue	nerve_sheath	sciatic_nerve	ns	TS-0899
soft_tissue	nerve_sheath	shoulder	ns	TS-2229
soft_tissue	nerve_sheath	spinal	ns	TS-2492
soft_tissue	nerve_sheath	spine	ns	TS-2492
soft_tissue	nerve_sheath	stomach	ns	TS-0980
soft_tissue	nerve_sheath	tibial	ns	TS-2493
soft_tissue	nerve_sheath	trunk	ns	TS-1071
soft_tissue	nerve_sheath	ulnary	ns	TS-2495
soft_tissue	nerve_sheath	upper_extremity	ns	TS-2214
soft_tissue	nerve_sheath	upper_leg	ns	TS-2039
soft_tissue	nerve_sheath	vestibular	ns	TS-2496
soft_tissue	ns	liver	ns	TS-0564
soft_tissue	ns	ns	ns	TS-2090
soft_tissue	smooth_muscle	abdomen	ns	TS-0001
soft_tissue	smooth_muscle	arm	ns	TS-2204
soft_tissue	smooth_muscle	bone	ns	TS-0088
soft_tissue	smooth_muscle	breast	ns	TS-2083
soft_tissue	smooth_muscle	chest	ns	TS-1039
soft_tissue	smooth_muscle	inferior_vena_cava	ns	TS-2481
soft_tissue	smooth_muscle	kidney	ns	TS-0510
soft_tissue	smooth_muscle	leg	ns	TS-2206
soft_tissue	smooth_muscle	lung	ns	TS-0568
soft_tissue	smooth_muscle	ns	ns	TS-0943
soft_tissue	smooth_muscle	oesophagus	ns	TS-0700
soft_tissue	smooth_muscle	ovary	ns	TS-0730
soft_tissue	smooth_muscle	parametrium	ns	TS-2486
soft_tissue	smooth_muscle	pelvis	ns	TS-2227
soft_tissue	smooth_muscle	peritoneum	ns	TS-2072
soft_tissue	smooth_muscle	retroperitoneum	ns	TS-2337
soft_tissue	smooth_muscle	shoulder	ns	TS-2229
soft_tissue	smooth_muscle	small_intestine	ns	TS-0942
soft_tissue	smooth_muscle	stomach	ns	TS-0980
soft_tissue	smooth_muscle	upper_leg	ns	TS-2039
soft_tissue	smooth_muscle	uterus	ns	TS-1102
soft_tissue	striated_muscle	abdomen	ns	TS-0001
soft_tissue	striated_muscle	abdominal_wall	ns	TS-2466
soft_tissue	striated_muscle	arm	ns	TS-2204
soft_tissue	striated_muscle	back	ns	TS-2223
soft_tissue	striated_muscle	bladder	ns	TS-0394
soft_tissue	striated_muscle	buttock	ns	TS-2224
soft_tissue	striated_muscle	cervix	ns	TS-0134
soft_tissue	striated_muscle	cheek	ns	TS-2470
soft_tissue	striated_muscle	chest	ns	TS-1039
soft_tissue	striated_muscle	chest_wall	ns	TS-2464
soft_tissue	striated_muscle	diaphragm	ns	TS-0198
soft_tissue	striated_muscle	extrarenal	ns	TS-2090
soft_tissue	striated_muscle	extremity	ns	TS-0552
soft_tissue	striated_muscle	face	ns	TS-2216
soft_tissue	striated_muscle	female_genital_tract_(site_indeterminate)	ns	TS-1303
soft_tissue	striated_muscle	foot	ns	TS-0377
soft_tissue	striated_muscle	forearm	ns	TS-2205
soft_tissue	striated_muscle	genital_tract	ns	TS-1318
soft_tissue	striated_muscle	hand	ns	TS-2213
soft_tissue	striated_muscle	head_neck	ns	TS-2356
soft_tissue	striated_muscle	heart	ns	TS-0445
soft_tissue	striated_muscle	hip	ns	TS-2226
soft_tissue	striated_muscle	jaw	ns	TS-2482
soft_tissue	striated_muscle	kidney	ns	TS-0510
soft_tissue	striated_muscle	large_intestine	ns	TS-1306
soft_tissue	striated_muscle	liver	ns	TS-0564
soft_tissue	striated_muscle	lower_extremity	ns	TS-2215
soft_tissue	striated_muscle	lower_leg	ns	TS-2461
soft_tissue	striated_muscle	lung	ns	TS-0568
soft_tissue	striated_muscle	lymph_node	ns	TS-0579
soft_tissue	striated_muscle	maxillary	ns	TS-2217
soft_tissue	striated_muscle	mediastinum	ns	TS-2338
soft_tissue	striated_muscle	middle_ear	ns	TS-2233
soft_tissue	striated_muscle	mouth	ns	TS-1315
soft_tissue	striated_muscle	neck	ns	TS-2045
soft_tissue	striated_muscle	ns	ns	TS-2047
soft_tissue	striated_muscle	orbit	ns	TS-2497
soft_tissue	striated_muscle	ovary	ns	TS-0730
soft_tissue	striated_muscle	paraspinal	ns	TS-2047
soft_tissue	striated_muscle	paratestis	ns	TS-2047
soft_tissue	striated_muscle	pelvic_cavity	ns	TS-2487
soft_tissue	striated_muscle	pelvis	ns	TS-2227
soft_tissue	striated_muscle	perineum	ns	TS-2488
soft_tissue	striated_muscle	pharynx	ns	TS-0785
soft_tissue	striated_muscle	pleura	ns	TS-2081
soft_tissue	striated_muscle	prostate	ns	TS-0828
soft_tissue	striated_muscle	retroperitoneum	ns	TS-2337
soft_tissue	striated_muscle	scalp	ns	TS-0896
soft_tissue	striated_muscle	shoulder	ns	TS-2229
soft_tissue	striated_muscle	sinonasal	ns	TS-2456
soft_tissue	striated_muscle	testis	ns	TS-1030
soft_tissue	striated_muscle	trunk	ns	TS-1071
soft_tissue	striated_muscle	upper_aerodigestive_tract	ns	TS-2047
soft_tissue	striated_muscle	upper_extremity	ns	TS-2214
soft_tissue	striated_muscle	upper_leg	ns	TS-2039
soft_tissue	striated_muscle	vagina	ns	TS-1103
soft_tissue	striated_muscle	vulva	ns	TS-1168
stomach	ns	ns	ns	TS-0980
testis	ns	ns	ns	TS-1030
thymus	ns	ns	ns	TS-1043
thymus	thyroid	ns	ns	TS-1047
thyroid	ns	ns	ns	TS-1047
upper_aerodigestive_tract	head_neck	ns	ns	TS-2356
upper_aerodigestive_tract	larynx	glottis	ns	TS-2474
upper_aerodigestive_tract	larynx	ns	ns	TS-0532
upper_aerodigestive_tract	larynx	subglottis	ns	TS-2475
upper_aerodigestive_tract	larynx	supraglottis	ns	TS-2476
upper_aerodigestive_tract	middle_ear	ns	ns	TS-2233
upper_aerodigestive_tract	mouth	alveolus	ns	TS-0031
upper_aerodigestive_tract	mouth	alveolus_ridge	ns	TS-2467
upper_aerodigestive_tract	mouth	buccal_mucosa	ns	TS-2349
upper_aerodigestive_tract	mouth	cheek	ns	TS-2470
upper_aerodigestive_tract	mouth	gingiva	ns	TS-2074
upper_aerodigestive_tract	mouth	lip	ns	TS-0558
upper_aerodigestive_tract	mouth	maxilla	ns	TS-2217
upper_aerodigestive_tract	mouth	mouth_floor	ns	TS-2207
upper_aerodigestive_tract	mouth	mouth_roof	ns	TS-2212
upper_aerodigestive_tract	mouth	ns	ns	TS-1315
upper_aerodigestive_tract	mouth	retromolar	ns	TS-2353
upper_aerodigestive_tract	mouth	tongue	ns	TS-1050
upper_aerodigestive_tract	mouth	vestibule	ns	TS-1315
upper_aerodigestive_tract	pharynx	epiglottis	ns	TS-2473
upper_aerodigestive_tract	pharynx	hypopharynx	ns	TS-2020
upper_aerodigestive_tract	pharynx	nasopharynx	ns	TS-0663
upper_aerodigestive_tract	pharynx	ns	ns	TS-0785
upper_aerodigestive_tract	pharynx	oropharynx	ns	TS-0718
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	ns	ns	TS-2456
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	ethmoid	TS-2477
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	maxillary	TS-2231
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	ns	TS-2456
upper_aerodigestive_tract	sinonasal_and_nasal_cavity	sinus	piriform	TS-2489
upper_aerodigestive_tract	tonsil	ns	ns	TS-1053
upper_aerodigestive_tract	trachea	ns	ns	TS-1060
urinary_tract	bladder	ns	ns	TS-1090
urinary_tract	ns	ns	ns	TS-1323
urinary_tract	renal_pelvis	ns	ns	TS-2230
urinary_tract	upper_urinary_tract	ns	ns	TS-1323
urinary_tract	ureter	ns	ns	TS-1084
vagina	ns	ns	ns	TS-1103
vulva	ns	ns	ns	TS-1168
Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
autonomic_ganglia	thoraco-abdomen	ns	ns	TS-1071
breast	nipple	ns	ns	TS-2234
central_nervous system	lateral ventricle trigone	ns	ns	TS-1230
eye	lacrimal_gland	ns	ns	TS-0512
genital_tract	extragonadal	central nervous system	ns	TS-0150
haematopoietic_and lymphoid tissue	blood vessel	ns	ns	TS-2090
haematopoietic_and lymphoid tissue	bone	ns	ns	TS-0088
haematopoietic_and lymphoid tissue	extramedullary	ns	ns	TS-2090
haematopoietic_and lymphoid tissue	lip	ns	ns	TS-0558
pancreas	extrapancreatic	ns	ns	TS-2090
pericardium	ns	ns	ns	TS-0761
pituitary	adenohypophysis	ns	ns	TS-0794
skin	chest_wall	ns	ns	TS-2464
soft_tissue	blood vessel	face	ns	TS-2216
soft_tissue	blood vessel	groin	ns	TS-2339
soft_tissue	blood vessel	labia	ns	TS-2210
soft_tissue	blood vessel	lower extremity	ns	TS-2215
soft_tissue	blood vessel	neck	ns	TS-2045
soft_tissue	blood vessel	orbit	ns	TS-2497
soft_tissue	blood vessel	scalp	ns	TS-0896
soft_tissue	blood vessel	tongue	ns	TS-1050
soft_tissue	blood vessel	trunk	ns	TS-1071
soft_tissue	fat	extremity	ns	TS-0552
soft_tissue	fat	face	ns	TS-2216
soft_tissue	fat	lower extremity	ns	TS-2215
soft_tissue	fibrous tissue and uncertain origin	hip	ns	TS-2226
soft_tissue	fibrous tissue and uncertain origin	sciatic nerve	ns	TS-0899
soft_tissue	nerve sheath	brachial plexus	ns	TS-2468
soft_tissue	smooth muscle	cervix	ns	TS-0134
soft_tissue	smooth muscle	iliac vein	ns	TS-2498
soft_tissue	smooth muscle	omentum	ns	TS-2004
soft_tissue	striated muscle	elbow	ns	TS-2222
soft_tissue	striated muscle	omentum	ns	TS-2004
soft_tissue	striated muscle	sinonasal and nasal cavity	ns	TS-2456
soft_tissue	striated muscle	skull	ns	TS-2344
soft_tissue	striated muscle	uterus	ns	TS-1102
stomach	gastroesophageal_junction	ns	ns	TS-2499
upper_aerodigestive tract	mouth	commissure	ns	TS-1315
upper_aerodigestive tract	mouth	retromolar trigone	ns	TS-2353
urinary_tract	bladder	urachus	ns	TS-2500
